Time,ID,AccX,AccY,AccZ,Behaviour
14:38:07,F1,-0.0739746,-0.0437012,-1.01172,Feed
14:38:07,F1,-0.0498047,-0.0556641,-0.999756,Feed
14:38:07,F1,-0.0739746,-0.0317383,-0.999756,Feed
14:38:07,F1,-0.0739746,-0.0078125,-1.02368,Feed
14:38:07,F1,-0.0739746,0.0639648,-0.987793,Feed
14:38:07,F1,-0.0979004,0.0759277,-0.963623,Feed
14:38:07,F1,-0.0859375,0.0759277,-0.975586,Feed
14:38:07,F1,-0.0859375,0.0639648,-0.987793,Feed
14:38:07,F1,-0.0979004,0.0639648,-0.987793,Feed
14:38:07,F1,-0.0979004,0.0759277,-0.975586,Feed
14:38:07,F1,-0.109863,0.0397949,-0.987793,Feed
14:38:07,F1,-0.0859375,0.0158691,-0.999756,Feed
14:38:07,F1,-0.0979004,-0.0317383,-1.01172,Feed
14:38:07,F1,-0.0979004,-0.067627,-1.07178,Feed
14:38:07,F1,-0.0859375,-0.115723,-1.0957,Feed
14:38:07,F1,-0.0498047,-0.10376,-1.04761,Feed
14:38:07,F1,-0.0979004,-0.0915527,-1.02368,Feed
14:38:07,F1,-0.0979004,-0.10376,-1.03564,Feed
14:38:07,F1,-0.145752,-0.115723,-1.01172,Feed
14:38:07,F1,-0.145752,-0.127686,-0.963623,Feed
14:38:07,F1,-0.145752,-0.163574,-0.975586,Feed
14:38:07,F1,-0.145752,-0.175537,-0.963623,Feed
14:38:07,F1,-0.0979004,-0.187744,-0.999756,Feed
14:38:07,F1,-0.109863,-0.199707,-0.999756,Feed
14:38:08,F1,-0.0979004,-0.21167,-0.999756,Feed
14:38:08,F1,-0.0498047,-0.235596,-0.95166,Feed
14:38:08,F1,-0.0617676,-0.235596,-0.891602,Feed
14:38:08,F1,-0.0859375,-0.235596,-0.855713,Feed
14:38:08,F1,-0.121826,-0.259766,-0.807617,Feed
14:38:08,F1,-0.157959,-0.31958,-0.783691,Feed
14:38:08,F1,-0.205811,-0.34375,-0.807617,Feed
14:38:08,F1,-0.22998,-0.31958,-0.807617,Feed
14:38:08,F1,-0.289795,-0.331543,-0.795654,Feed
14:38:08,F1,-0.265869,-0.331543,-0.807617,Feed
14:38:08,F1,-0.22998,-0.283691,-0.831787,Feed
14:38:08,F1,-0.22998,-0.271729,-0.831787,Feed
14:38:08,F1,-0.193848,-0.259766,-0.771729,Feed
14:38:08,F1,-0.205811,-0.31958,-0.759766,Feed
14:38:08,F1,-0.205811,-0.31958,-0.81958,Feed
